compound,best_pvalue,best_combined_score,n_entries,databases,nrf2_status,nrf2_confidence,is_pains,pains_category,auc_class
ljp006 skbr3 24h-withaferin-a-333,1.11890113805608e-23,513.383310463214,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp005 skbr3 24h-withaferin-a-333,1.4176032303236e-23,528.00437070248,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 bt20 24h-celastrol-111,9.48836704469395e-23,443.831525679137,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp005 skbr3 3h-withaferin-a-333,2.28786709849929e-19,492.868185439651,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 bt20 24h-celastrol-333,3.3762616953696298e-18,464.162580508584,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 bt20 24h-withaferin-a-333,3.47248907960451e-18,410.068312747743,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 hcc515 24h-celastrol-10,2.82153320013895e-17,491.055207922381,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 ht29 24h-celastrol-10,2.22759708132557e-16,450.089914711399,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 skbr3 3h-withaferin-a-333,3.06985418858637e-16,476.834880920282,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp005 bt20 24h-withaferin-a-333,8.762707064833201e-16,476.549744914125,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 bt20 3h-celastrol-111,2.9980148138537803e-15,673.87072460363,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 ht29 24h-withaferin-a-10,5.43034191392545e-15,254.784438453302,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp005 hcc515 24h-withaferin-a-10,1.5061158405376902e-14,247.66565883695,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
14-chrysenequinone,2.02674076891987e-14,307.291244988703,5,DSigDB,unknown,,True,quinone,excluded
ljp005 bt20 3h-withaferin-a-333,5.72477941033056e-14,390.239043911271,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 mdamb231 24h-celastrol-333,7.26690944559734e-14,242.887965551394,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 mdamb231 24h-withaferin-a-333,1.4565307994171998e-13,242.717965945211,1,LINCS_L1000_Chem_Pert_up,activator,medium,True,literature_classified,positive
ljp006 lncap 24h-withaferin-a-10,1.81051151069741e-13,224.862571446168,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
genistein,2.07291483610186e-13,83.1448741374712,2,DSigDB,activator,medium,True,literature_classified,positive
withaferin a,3.52816603332618e-13,358.92932462324,8,DSigDB,activator,medium,True,literature_classified,positive
ljp005 mdamb231 3h-withaferin-a-10,1.32119803819532e-12,390.921976810804,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 skbr3 3h-withaferin-a-10,1.7402362987865098e-12,378.552613759875,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 skbr3 24h-celastrol-333,2.82028403586868e-12,209.997252329724,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp005 ht29 24h-withaferin-a-10,9.12195455803398e-12,139.865710251996,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 lncap 3h-withaferin-a-10,9.4106271662741e-12,252.323120771833,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp005 ht29 24h-withaferin-a-333,1.30562705539365e-11,267.879910666851,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 mdamb231 24h-withaferin-a-10,1.3135095849231598e-11,298.275966703659,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
ljp006 lncap 3h-celastrol-333,1.60958139459683e-11,261.542575034442,1,LINCS_L1000_Chem_Pert_up,activator,medium,True,literature_classified,positive
ljp006 skbr3 3h-celastrol-333,1.8439400207364498e-11,215.369232008042,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",activator,medium,True,literature_classified,positive
